UUID Solr;UUID Elastic;UUID Manticore;Wszystkie;Wszystkie (bez duplikatów);Relewantny globalnie;Rel w Solr;Rel w Elast;Rel W Mant;;TP Solr;FP Solr;FN Solr;TN Solr;;TP Elastic;FP Elastic;FN Elastic;TN Elastic;;TP Manticore;FP Manti;FN Manti;TN Manti;;;;;;;;;;
71cb52578398f98e74eae044fcee7918ab7894a3;097c05292e925596349e6589bb2f2bf594e539d7; 1dcbb4f3f31c63afc80e41a2e7723b937d8b1f66;71cb52578398f98e74eae044fcee7918ab7894a3;71cb52578398f98e74eae044fcee7918ab7894a3;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
da4cd1a1ed7f54d48f1415037cb1433e706ea29c;e634481595aac898e502f55d88638fee347b66b2; 0fd2d58d769d8bb305c6d903d77a5242c063d211;da4cd1a1ed7f54d48f1415037cb1433e706ea29c;da4cd1a1ed7f54d48f1415037cb1433e706ea29c;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
c6b1eed873aae8267e220289a09159c8fbee93e0;7c7290b05d3aa69d350784d92e3ef6ee34e9abe9; 033a4f7bdd77fcb4ca4cc43ee8f4cb7b4f5b5f31;c6b1eed873aae8267e220289a09159c8fbee93e0;c6b1eed873aae8267e220289a09159c8fbee93e0;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
805f36524777d4211ac9fc28908d17568e598edd;9e6fe9dd3c28c124e705fe572c7ce7a4fb32e727; 5628b88f53564172957b1c90589fc6c6bcafa6aa;805f36524777d4211ac9fc28908d17568e598edd;805f36524777d4211ac9fc28908d17568e598edd;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
e35fbea7da8a704262d963affd47af63f7897a5d;be3a18c9a56eff79a04188e45cb0a23882427e97; e4c7d76676793ff20b24aa71f42df931925116f3;e35fbea7da8a704262d963affd47af63f7897a5d;e35fbea7da8a704262d963affd47af63f7897a5d;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
2935ab2b9ca5a9bd0dffc321da3557f753b4de95;b5a59c255dad22341bd5ed660a2c1dc8b6a2b69d; ee2424eb921fa7f855d43a015bf43cce41a20d61;2935ab2b9ca5a9bd0dffc321da3557f753b4de95;2935ab2b9ca5a9bd0dffc321da3557f753b4de95;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
bda5422f8e73d0768e6187643e619ec7c07d9935;757fd84195935460bea38d5cbc5ef72945156c36; 10954dcf676656772c403e11a0495fc5b701176a;bda5422f8e73d0768e6187643e619ec7c07d9935;bda5422f8e73d0768e6187643e619ec7c07d9935;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
b1782e29dd2d0cb2eca7ffff8198c1813fd35151;8ac7ce334c8bf644e9f7288aef2fc60bc6e5edd7; cd25dc48c7d8379df0bc09db80a945375f1895b2;b1782e29dd2d0cb2eca7ffff8198c1813fd35151;b1782e29dd2d0cb2eca7ffff8198c1813fd35151;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
160889a4e40026d43a582a1dd729df81bdbee32e;e3f8f41a258ded057c3e1849599387a9fcd83d48; b4cd632a9509116cd0ac023e30c4ded663ec6459;160889a4e40026d43a582a1dd729df81bdbee32e;160889a4e40026d43a582a1dd729df81bdbee32e;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
f6ce6d59e95e88f7894cf34303859230cbc53a5c;e9d0fd0648c87d1205a0b57dcdfde40ca8b69d95; 227d8b0656fef1f0b16f5f2cd4c6ec15dde8eed9;f6ce6d59e95e88f7894cf34303859230cbc53a5c;f6ce6d59e95e88f7894cf34303859230cbc53a5c;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
